Object Number,Collection,Name,Description,combined_text,Maker,Place Made,Date Made,Materials,Measurements,Collection Online Title
1857-102,SCM - Textiles Machinery,drawing machine,"Model of a drawing machine, patentee John George Bodmer, 1824, England, to separate slivers, increase their length 12-15 times and recombine into a lap.","drawing machine: Model of a drawing machine, patentee John George Bodmer, 1824, England, to separate slivers, increase their length 12-15 times and recombine into a lap.","Bodmer, John George","England, United Kingdom",,cast iron; wood,Dimensions unknown as object is at Wroughton,Model of a Drawing Machine
1857-105,SCM - Textiles Machinery,cloth printing blocks,"Two printing blocks and a portion of a metal stereotype for calico and silk printing, maker unknown.","cloth printing blocks: Two printing blocks and a portion of a metal stereotype for calico and silk printing, maker unknown.",Unknown maker,,,wood; brass; metal,,Cloth Printing Blocks and Stereotype Section
1857-105/1,SCM - Textiles Machinery,cloth printing block,"Printing block for calico and silk printing, maker unknown.","cloth printing block: Printing block for calico and silk printing, maker unknown.",,,,,,Cloth Printing Block
1857-105/2,SCM - Textiles Machinery,cloth printing block,"Printing block for calico and silk printing, maker unknown.","cloth printing block: Printing block for calico and silk printing, maker unknown.",,,,,,Cloth Printing Block
1857-105/3,SCM - Textiles Machinery,stereotype,"Portion of a metal stereotype for calico and silk printing, maker unknown.","stereotype: Portion of a metal stereotype for calico and silk printing, maker unknown.",,,,,,Section of Metal Stereotype
1857-107,SCM - Textiles Machinery,cloth printing machine,"Model of block printing machine for calico, 1840, patentee R. Hampson, unknown maker.","cloth printing machine: Model of block printing machine for calico, 1840, patentee R. Hampson, unknown maker.",Unknown maker,,1840,cast iron; padding; wood,overall: 1090 x 1260 x 580 mm,"Model of block printing machine for calico,  patentee R. Hampson"
1857-107/1,SCM - Textiles Machinery,,"Block printing machine, unknown maker.",": Block printing machine, unknown maker.",Unknown maker,,,,,Block printing machine for cloth
1857-107/2,SCM - Textiles Machinery,,Pallet box.,: Pallet box.,,,,,,Pallet box
1857-108,SCM - Textiles Machinery,automatic dyeing apparatus,Model of automatic dyeing apparatus employed by calico printers and dyers.,automatic dyeing apparatus: Model of automatic dyeing apparatus employed by calico printers and dyers.,,,,cast iron; steel; copper,.6 x .42 x 1.2 m,Model of dyeing apparatus
1857-114,SCM - Textiles Machinery,carding,Apparatus for cleaning the top flat cards of John George Bodmer's carding engine.,carding: Apparatus for cleaning the top flat cards of John George Bodmer's carding engine.,,,,wood,Dimensions unknown as object is at Wroughton,Apparatus for cleaning the top flat cards of John 
1857-115,SCM - Textiles Machinery,model - representation,"Model of two carding engines arranged so as to combine their slivers (scale 1:8), patentee John George Bodmer, unsigned, United Kingdom, 1820-1824","model - representation: Model of two carding engines arranged so as to combine their slivers (scale 1:8), patentee John George Bodmer, unsigned, United Kingdom, 1820-1824","Unknown maker; Bodmer, John George",United Kingdom,1820-1824,"mahogany (wood); brass (copper, zinc alloy); steel (metal); brass; complete","overall: 195 mm x 460 mm x 275 mm, 3.194kg",Model of Bodmer's carding engine.
